kanji,grade
蹴,8
鍵,8
膳,8
袖,8
潰,8
駒,8
剥,8
鍋,8
湧,8
葛,8
梨,8
貼,8
拉,8
枕,8
顎,8
苛,8
蓋,8
裾,8
腫,8
爪,8
嵐,8
鬱,8
妖,8
藍,8
捉,8
宛,8
崖,8
叱,8
瓦,8
拳,8
乞,8
呪,8
汰,8
勃,8
昧,8
唾,8
艶,8
痕,8
諦,8
餅,8
瞳,8
唄,8
隙,8
淫,8
錦,8
箸,8
戚,8
蒙,8
妬,8
蔑,8
嗅,8
蜜,8
戴,8
痩,8
怨,8
醒,8
詣,8
窟,8
巾,8
蜂,8
骸,8
弄,8
嫉,8
罵,8
璧,8
阜,8
埼,8
伎,8
曖,8
餌,8
爽,8
詮,8
芯,8
綻,8
肘,8
麓,8
憧,8
頓,8
牙,8
咽,8
嘲,8
臆,8
挫,8
溺,8
侶,8
丼,8
瘍,8
僅,8
諜,8
柵,8
腎,8
梗,8
瑠,8
羨,8
酎,8
畿,8
畏,8
瞭,8
踪,8
栃,8
蔽,8
茨,8
慄,8
傲,8
虹,8
捻,8
臼,8
喩,8
萎,8
腺,8
桁,8
玩,8
冶,8
羞,8
惧,8
舷,8
貪,8
采,8
堆,8
煎,8
斑,8
冥,8
遜,8
旺,8
麺,8
璃,8
串,8
填,8
箋,8
脊,8
緻,8
辣,8
摯,8
汎,8
憚,8
哨,8
氾,8
諧,8
媛,8
彙,8
恣,8
聘,8
沃,8
憬,8
捗,8
訃,8
